accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
38	E-CURD-62	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
39	E-CURD-63	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
40	E-CURD-64	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
41	E-CURD-65	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
42	E-CURD-66	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
43	E-CURD-67	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
44	E-CURD-68	microarray_1colour_mrna_differential	Rattus norvegicus		kidney; liver	6 week			male
45	E-CURD-69	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver; liver, kidney	6 week			male
46	E-CURD-70	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver; liver, kidney	6 week			male
47	E-CURD-71	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver; liver, kidney	6 week			male
48	E-CURD-72	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver; liver, kidney	6 week			male
49	E-CURD-73	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver; liver, kidney	6 week			male
50	E-CURD-74	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver; liver, kidney	6 week			male
51	E-CURD-75	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver; liver, kidney	6 week			male
52	E-CURD-76	microarray_1colour_mrna_differential	Rattus norvegicus	adult	kidney; kidney, liver; liver	6 week			male
53	E-ENAD-1	rnaseq_mrna_baseline	Theobroma cacao		leaf and flower				
54	E-ENAD-10	rnaseq_mrna_differential	Brassica oleracea var. capitata		leaf apex				
55	E-ENAD-11	rnaseq_mrna_baseline	Musa acuminata AAA Group	0 day after flowering; 20 day after flowering; 80 day after flowering	endocarp				
56	E-ENAD-12	rnaseq_mrna_differential	Chlamydomonas reinhardtii		whole organism				
57	E-ENAD-2	rnaseq_mrna_baseline	Beta vulgaris subsp. vulgaris	113 days after emergence; 134 days after emergence; 37 days after emergence; 59 days after emergence; 82 days after emergence	primary root				
58	E-ENAD-22	rnaseq_mrna_differential	Schistosoma mansoni		posterior somatic tissue				male
59	E-ENAD-23	rnaseq_mrna_differential	Schistosoma mansoni	adult	whole organism	7 week			female
60	E-ENAD-25	rnaseq_mrna_baseline	Zea mays	seedling	bundle sheath; leaf; leaf mesophyll	9 day	wild type genotype		
61	E-ENAD-26	rnaseq_mrna_baseline	Zea mays	seedling	bundle sheath; leaf mesophyll	9 day	wild type genotype		
62	E-ENAD-28	microarray_1colour_mrna_differential	Homo sapiens		blood	47 year, 51 year, 36 year, 44 year, 40 year, 82 year, 69 year, 55 year, 61 year, 74 year, 42 year, 58 year, 59 year, 38 year, 81 year, 77 year, 24 year, 60 year, 52 year, 91 year, 41 year, 75 year, 70 year, 54 year; 65 year, 44 year, 40 year, 69 year, 55 year, 79 year, 74 year, 81 year, 63 year, 32 year, 43 year, 91 year, 25 year, 49 year, 41 year, 70 year, 62 year, 54 year		bacteriemia	female, male
63	E-ENAD-29	microarray_1colour_mrna_differential	Mus musculus		blood	6 to 8 month			male
64	E-ENAD-3	rnaseq_mrna_differential	Prunus persica		leaf; root	7 week			
65	E-ENAD-33	rnaseq_mrna_baseline	Homo sapiens			25 to 29 year; 30 to 34 year; 35 to 39 year; 40 to 44 year; 45 to 49 year; 50 to 54 year; 55 to 59 year; 60 to 64 year; 65 to 69 year; 70 to 74 year; 75 to 79 year		Bardet-biedl syndrome; normal	female; male
66	E-ENAD-34	rnaseq_mrna_baseline	Homo sapiens	adult	blood	50 to 55 year,65 to 70 year; 60 to 65 year,35 to 40 year,65 to 70 year,55 to 60 year,25 to 30 year,40 to 45 year,50 to 55 year,30 to 35 year,20 to 25 year; 60 to 65 year,35 to 40 year,65 to 70 year,55 to 60 year,40 to 45 year,25 to 30 year,50 to 55 year,30 to 35 year,20 to 25 year; 60 to 65 year,35 to 40 year,65 to 70 year,55 to 60 year,70 to 75 year,50 to 55 year,30 to 35 year,75 to 80 year,45 to 50 year; 60 to 65 year,65 to 70 year,55 to 60 year,70 to 75 year,40 to 45 year,50 to 55 year,30 to 35 year,75 to 80 year,45 to 50 year; 65 to 70 year		normal	female,male; male
67	E-ENAD-35	rnaseq_mrna_baseline	Homo sapiens	adult	blood; skin	30 to 34 year; 40 to 44; 40 to 44 year; 45 to 49; 45 to 49 year; 50 to 54 year; 55 to 59 year; 60 to 64 year; 65 to 69 year; not available		normal	female; male
68	E-ENAD-4	rnaseq_mrna_differential	Triticum urartu	LP.02 two leaves visible stage					
69	E-ENAD-41	rnaseq_mrna_baseline	Homo sapiens	adult		25 to 29 year; 30 to 34 year; 35 to 39 year; 40 to 44 year; 45 to 49 year; 50 to 54 year; 55 to 59 year; 60 to 64 year; 65 to 69 year; 70 to 74 year; not available		normal	female; male
70	E-ENAD-42	rnaseq_mrna_baseline	Homo sapiens	adult	islet of Langerhans	17 year; 18 year; 21 year; 22 year; 24 year; 25 year; 27 year; 29 year; 30 year; 32 year; 33 year; 34 year; 35 year; 36 year; 37 year; 39 year; 40 year; 41 year; 42 year; 43 year; 44 year; 45 year; 46 year; 47 year; 48 year; 49 year; 50 year; 51 year; 52 year; 53 year; 54 year; 55 year; 56 year; 57 year; 58 year; 59 year; 60 year; 61 year; 62 year; 69 year; 72 year; 73 year; 79 year; 80 year; not available		normal	female; male
71	E-ENAD-43	rnaseq_mrna_baseline	Vitis vinifera	fruit ripening stage	berry fruit				
72	E-ENAD-46	rnaseq_mrna_differential	Homo sapiens		colon; lung	86 year, 51 year, 53 year, 67 year, 66 year, 78 year, 83 year, 70 year, 62 year; 86 year, 51 year, 53 year, 67 year, 66 year, 83 year, 78 year, 70 year, 62 year		COVID-19	female, male
73	E-ENAD-5	rnaseq_mrna_differential	Arabidopsis lyrata subsp. lyrata	LP.04 four leaves visible stage	rosette leaf	7 week			
74	E-ENAD-6	rnaseq_mrna_differential	Brachypodium distachyon		leaf				
75	E-ENAD-8	rnaseq_mrna_differential	Musa acuminata		in vitro plant structure	38 day			
76	E-ENAD-9	rnaseq_mrna_differential	Brachypodium distachyon	LP.03 three leaves visible stage	fully expanded third leaf	3 week			
77	E-ERAD-132	rnaseq_mrna_differential	Mus musculus		bone marrow				
78	E-ERAD-169	rnaseq_mrna_baseline	Mus musculus		olfactory epithelium; vomeronasal organ		wild type genotype		mixed
79	E-ERAD-181	rnaseq_mrna_differential	Mus musculus		caecum; large intestine; mesenteric lymph node				male; unknown
80	E-ERAD-352	rnaseq_mrna_baseline	Mus musculus	embryonic day 9.5			wild type genotype		female,male
81	E-ERAD-401	rnaseq_mrna_baseline	Mus musculus	embryonic day 10; embryonic day 10.5; embryonic day 8; embryonic day 8.5; embryonic day 9; embryonic day 9.5			wild type genotype		female,male; male
82	E-ERAD-475	rnaseq_mrna_baseline	Danio rerio	blastula 128-cell; blastula 1k-cell; blastula dome; cleavage 2-cell; gastrula 50%-epiboly; gastrula 75%-epiboly; gastrula shield; hatching long-pec; larval day 4; larval day 5; larval protruding mouth; pharyngula prim-15; pharyngula prim-25; pharyngula prim-5; segmentation 1-4 somites; segmentation 14-19 somites; segmentation 20-25 somites; zygote	whole organism				
83	E-ERAD-499	rnaseq_mrna_baseline	Mus musculus	embryonic day 9.5					female; female,male
84	E-GEOD-100100	rnaseq_mrna_differential	Mus musculus	neonate	skin			normal	
85	E-GEOD-10019	microarray_1colour_mrna_differential	Arabidopsis thaliana	after stage 12	inflorescence without flowers				
86	E-GEOD-100371	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	12 day			
87	E-GEOD-10053	microarray_1colour_mrna_differential	Drosophila melanogaster	adult	whole organism				
88	E-GEOD-100667	rnaseq_mrna_differential	Zea mays		leaf				
89	E-GEOD-10070	microarray_1colour_mrna_differential	Homo sapiens		breast				
90	E-GEOD-1008	microarray_1colour_mrna_differential	Mus musculus	postnatal day 112; postnatal day 14; postnatal day 28; postnatal day 56	extraocular muscle				
91	E-GEOD-100833	microarray_1colour_mrna_differential	Homo sapiens		ascending colon; blood; descending colon; rectum; sigmoid colon; terminal ileum; transverse colon	20 year, 36 year, 27 year, 43 year, 57 year, 41 year, 46 year, 21 year; 26 year, 29 year, 20 year, 34 year, 31 year, 28 year, 48 year, 60 year, not available, 52 year, 41 year, 33 year, 36 year, 19 year, 44 year, 55 year, 21 year, 38 year, 35 year, 24 year, 32 year, 27 year, 43 year, 57 year, 46 year; 26 year, 29 year, 36 year, 20 year, 34 year, 31 year, 39 year, 35 year, 63 year, 24 year, 32 year, 27 year, 48 year, not available, 33 year; 26 year, 29 year, 51 year, 20 year, 34 year, 31 year, 40 year, 76 year, 37 year, 45 year, 42 year, 63 year, 53 year, 28 year, 60 year, 25 year, 41 year, 47 year, 30 year, 36 year, 19 year, 72 year, 44 year, 39 year, 50 year, 21 year, 38 year, 35 year, 24 year, 27 year, 32 year, 43 year, 49 year, 57 year, 46 year, 70 year, 62 year; 26 year, 29 year, 51 year, 20 year, 40 year, 34 year, 31 year, 76 year, 37 year, 45 year, 42 year, 53 year, 63 year, 28 year, 60 year, 22 year, 25 year, 41 year, 47 year, 30 year, 19 year, 36 year, 44 year, 72 year, 39 year, 61 year, 21 year, 38 year, 35 year, 24 year, 27 year, 32 year, 43 year, 49 year, 57 year, 46 year, 62 year; 26 year, 29 year, 51 year, 65 year, 20 year, 34 year, 76 year, 40 year, 31 year, 45 year, 42 year, 60 year, 56 year, not available, 41 year, 33 year, 36 year, 44 year, 55 year, 21 year, 38 year, 35 year, 24 year, 27 year, 32 year, 43 year, 46 year; 26 year, 30 year, 20 year, 36 year, 44 year, 34 year, 31 year, 40 year, 39 year, 45 year, 35 year, 63 year, 24 year, 27 year, 32 year, 60 year; 26 year, 30 year, 36 year, 20 year, 44 year, 34 year, 31 year, 40 year, 39 year, 21 year, 35 year, 24 year, 60 year; 26 year, 34 year, 39 year, 55 year, 28 year; 26 year, 34 year, 55 year, 42 year; 26 year, 35 year, 29 year, 20 year, 24 year, 36 year, 27 year, 32 year, 44 year, 60 year, 34 year, 41 year; 26 year, 35 year, 51 year, 65 year, 40 year, 34 year, 39 year, 61 year, 71 year, 33 year, 42 year; 26 year, 36 year, 19 year, 76 year, 50 year, 42 year, 58 year, 38 year, 59 year, 63 year, 53 year, 27 year, 32 year, 60 year, 48 year, 22 year, 52 year, 43 year, 64 year, 41 year, 33 year, 46 year, 70 year, 54 year; 26 year, 36 year, 19 year, 76 year, 50 year, 42 year, 58 year, 59 year, 38 year, 53 year, 63 year, 32 year, 27 year, 48 year, 60 year, 52 year, 22 year, 64 year, 41 year, 33 year, 70 year, 46 year, 54 year; 26 year, 36 year, 27 year, 60 year; 26 year, 51 year, 20 year, 36 year, 19 year, 31 year, 34 year, 39 year, 55 year, 45 year, 42 year, 35 year, 27 year, 48 year, 33 year; 26 year, 51 year, 65 year, 20 year, 23 year, 40 year, 34 year, 31 year, 18 year, 37 year, 45 year, 71 year, 42 year, 59 year, 28 year, 48 year, 60 year, 22 year, 52 year, 64 year, 25 year, 41 year, 33 year, 47 year, 36 year, 44 year, 72 year, 39 year, 55 year, 50 year, 21 year, 58 year, 38 year, 35 year, 24 year, 32 year, 27 year; 26 year, 61 year, 55 year, 33 year; 26 year, 65 year, 51 year, 20 year, 23 year, 40 year, 31 year, 34 year, 37 year, 45 year, 71 year, 42 year, 59 year, 28 year, 60 year, 48 year, 22 year, 64 year, 52 year, 25 year, 41 year, 33 year, 47 year, 36 year, 72 year, 44 year, 39 year, 55 year, 50 year, 21 year, 58 year, 38 year, 35 year, 24 year, 27 year, 32 year, 57 year; 26 year, 65 year, 51 year, 20 year, 23 year, 40 year, 34 year, 31 year, 18 year, 37 year, 45 year, 71 year, 42 year, 59 year, 28 year, 60 year, 48 year, 64 year, 52 year, 22 year, 25 year, 41 year, 33 year, 47 year, 36 year, 44 year, 72 year, 39 year, 55 year, 61 year, 50 year, 21 year, 58 year, 38 year, 35 year, 24 year, 32 year, 27 year; 26 year, 65 year, 51 year, 20 year, 34 year, 18 year, 42 year, 60 year, 48 year, 56 year, 52 year, 64 year, 25 year, 33 year, 47 year, 36 year, 44 year, 72 year, 39 year, 55 year, 61 year, 50 year, 58 year, 29 year, 23 year, 31 year, 40 year, 76 year, 37 year, 45 year, 71 year, 59 year, 63 year, 53 year, 28 year, 22 year, 41 year, 30 year, 19 year, 21 year, 38 year, 35 year, 24 year, 32 year, 27 year, 43 year, 49 year, 57 year, 46 year, 70 year, 54 year, 62 year; 26 year, 65 year, 51 year, 24 year, 52 year, 34 year, 55 year, 33 year, 21 year; 26 year, 76 year, 42 year, 59 year, 63 year, 53 year, 48 year, 60 year, 64 year, 22 year, 52 year, 41 year, 33 year, 19 year, 36 year, 50 year, 58 year, 38 year, 35 year, 24 year, 27 year, 32 year, 43 year, 70 year, 46 year, 54 year; 29 year, 26 year, 51 year, 20 year, 31 year, 40 year, 76 year, 34 year, 37 year, 45 year, 42 year, 63 year, 53 year, 28 year, 60 year, 22 year, 25 year, 41 year, 47 year, 30 year, 36 year, 44 year, 72 year, 39 year, 61 year, 21 year, 38 year, 35 year, 24 year, 27 year, 32 year, 43 year, 49 year, 57 year, 46 year, 62 year; 29 year, 35 year, 26 year, 32 year, 27 year, 44 year, 31 year, 40 year, 46 year; 29 year, 63 year, 20 year, 27 year, 44 year, 34 year, 31 year, 57 year, 46 year, 21 year; 30 year, 51 year, 72 year, 60 year, 48 year, 43 year, 25 year, 31 year, 37 year, 55 year, 33 year; 34 year, 36 year, 27 year, 60 year, 54 year; 34 year, 42 year, 55 year; 35 year, 24 year, 28 year, 34 year, 39 year, 55 year, 71 year; 35 year, 26 year, 61 year, 42 year; 35 year, 29 year, 20 year, 36 year, 24 year, 27 year, 44 year, 43 year, 40 year, 34 year, 31 year, 21 year; 35 year, 29 year, 63 year, 27 year, 44 year, 60 year, 43 year, 39 year, 41 year; 35 year, 39 year, 20 year, 24 year, 36 year, 60 year; 35 year, 57 year, 45 year, 20 year, 36 year; 35 year, 65 year, 51 year, 24 year, 28 year, 34 year, 42 year, 21 year; 35 year, 65 year, 51 year, 24 year, 34 year, 39 year, 61 year, 71 year, 33 year, 21 year, 42 year; 36 year, 38 year, 30 year; 38 year, 24 year, 36 year, 32 year, 28 year, 52 year, 34 year, 55 year, 42 year; 38 year, 26 year, 35 year, 51 year, 65 year, 52 year, 34 year, 40 year, 33 year, 21 year, 42 year; 38 year, 26 year, 65 year, 51 year, 36 year, 40 year, 34 year, 55 year, 33 year, 21 year, 42 year; 38 year, 29 year, 20 year, 32 year, 27 year, 44 year, 43 year, 34 year, 31 year, 40 year, 46 year, 21 year; 38 year, 29 year, 63 year, 20 year, 27 year, 44 year, 60 year, 40 year, 31 year, 34 year, 46 year; 38 year, 30 year, 35 year, 63 year, 36 year, 44 year, 43 year, 31 year, 39 year, 21 year, 46 year; 38 year, 30 year, 36 year, 20 year; 38 year, 35 year, 28 year, 48 year, 60 year, not available, 52 year, 34 year, 31 year, 33 year, 42 year, 46 year; 38 year, 35 year, 29 year, 20 year, 24 year, 27 year, 44 year, 60 year, 31 year, 40 year, 46 year; 38 year, 40 year, 21 year; 38 year, 43 year, 35 year, 39 year, 24 year, 36 year; 43 year, 20 year, 41 year, 32 year, 46 year; 43 year, 38 year, 31 year, 30 year, 20 year, 36 year; 45 year, 30 year, 57 year; 47 year, 30 year, 19 year, 20 year, 72 year, 31 year, 37 year, 18 year, 55 year, 42 year, 38 year, 56 year, 60 year, 48 year, 43 year, 25 year, 33 year; 47 year, 30 year, 20 year, 19 year, 72 year, 31 year, 18 year, 37 year, 55 year, 42 year, 38 year, 56 year, 48 year, 60 year, 43 year, 25 year, 33 year; 51 year, 20 year, 36 year, 31 year, 39 year, 55 year, 42 year, 38 year, 24 year, 28 year, 32 year, 27 year, 48 year, 43 year, not available, 52 year, 57 year, 41 year; 52 year, 24 year, 60 year; 52 year, 26 year, 32 year, 27 year; 52 year, 26 year, 34 year, 55 year, 28 year; 52 year, 27 year, 26 year; 52 year, 34 year, 55 year, 28 year, 21 year; 52 year, 35 year, 34 year, 55 year; 52 year, 38 year, 24 year, 32 year, 28 year; 52 year, 76 year, 24 year, 32 year, 54 year; 52 year, 76 year, 36 year, 32 year, 54 year; 76 year, 24 year, 36 year, 27 year, 60 year, 54 year		Crohn's disease; inflammatory bowel disease	female; female, male; female, not available, male; male; not available, female, male
92	E-GEOD-1009	microarray_1colour_mrna_differential	Homo sapiens	adult	kidney			diabetic nephropathy	
93	E-GEOD-101794	rnaseq_mrna_differential	Homo sapiens		ileum			Crohn's disease	female, male
94	E-GEOD-101943	rnaseq_mrna_differential	Zea mays	LP.08 eight leaves visible stage	leaf				
95	E-GEOD-102008	microarray_1colour_mrna_differential	Homo sapiens		blood	26 year, 65 year, 51 year, 12 year, 20 year, 34 year, 18 year, 74 year, 42 year, 17 year, 48 year, 11 year, 60 year, 64 year, 52 year, 25 year, 33 year, 78 year, 4 year, 47 year, 36 year, 44 year, 39 year, 55 year, 61 year, 50 year, 58 year, 8 year, 68 year, 29 year, 15 year, 23 year, 40 year, 31 year, 37 year, 45 year, 59 year, 7 year, 14 year, 53 year, 63 year, 28 year, 22 year, 41 year, 30 year, 19 year, 13 year, 16 year, 10 year, 21 year, 38 year, 35 year, 24 year, 27 year, 84 year, 32 year, 43 year, 73 year, 9 year, 57 year, 49 year, 46 year, 54 year, 62 year; 51 year, 65 year, 12 year, 20 year, 82 year, 34 year, 42 year, 74 year, 48 year, 56 year, 60 year, 64 year, 52 year, 78 year, 33 year, 47 year, 44 year, 69 year, 39 year, 55 year, 61 year, 50 year, 58 year, 68 year, 29 year, 15 year, 40 year, 37 year, 45 year, 71 year, 59 year, 14 year, 53 year, 63 year, 67 year, 41 year, 75 year, 19 year, 13 year, 10 year, 38 year, 81 year, 35 year, 24 year, 32 year, 73 year, 43 year, 57 year, 49 year, 46 year, 54 year, 62 year		Friedreich ataxia; normal	female, male
96	E-GEOD-10211	microarray_1colour_mrna_differential	Mus musculus		trachea				male
97	E-GEOD-102133	microarray_1colour_mrna_differential	Homo sapiens	adult	ileal mucosa	18.9 to 32.6 year; 22.4 to 66.1 year; 27.3 to 53.6 year; 40.0 to 59.4 year		Crohn's disease	
98	E-GEOD-10233	microarray_1colour_mrna_differential	Homo sapiens						
99	E-GEOD-10248	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	10 day			
100	E-GEOD-1025	microarray_1colour_mrna_differential	Mus musculus	postnatal day 112; postnatal day 14; postnatal day 23; postnatal day 28; postnatal day 56; postnatal day 7	gastrocnemius and soleus muscle				
101	E-GEOD-10289	microarray_1colour_mrna_differential	Homo sapiens					hepatocellular carcinoma	
102	E-GEOD-10311	microarray_1colour_mrna_differential	Homo sapiens		trabecular bone	64 year			male
103	E-GEOD-10315	microarray_1colour_mrna_differential	Homo sapiens		bone marrow				
104	E-GEOD-103170	rnaseq_mrna_differential	Homo sapiens		blood	5-8 year		systemic-onset juvenile idiopathic arthritis	male
105	E-GEOD-103501	rnaseq_mrna_differential	Homo sapiens		blood	15 year, 5 year, 3 year, 16 year, 10 year, 4 year, 8 year; 3 year, 16 year, 10 year, 5 year, 15 year, 4 year; 4 year, 8 year		normal; systemic-onset juvenile idiopathic arthritis	female, male
106	E-GEOD-10406	microarray_1colour_mrna_differential	Homo sapiens		sinus mucosa			chronic rhinosinusitis; cystic fibrosis and chronic rhinosinusitis	
107	E-GEOD-10414	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		3 day			
108	E-GEOD-104288	rnaseq_mrna_differential	Homo sapiens	adult, juvenile stage	skin	47 year, 30 year, 19 year, 36 year, 44 year, 13 year, 31 year, 37 year, 50 year, 21 year, 28 year, 56 year, 41 year, 33 year, 70 year		Friedreich ataxia	female, male
109	E-GEOD-10433	microarray_1colour_mrna_differential	Homo sapiens		skin	17 year, 20 year, 15 year, 21 year, 23 year		acne	female, male
110	E-GEOD-10479	microarray_1colour_mrna_differential	Homo sapiens						
111	E-GEOD-10496	microarray_1colour_mrna_differential	Arabidopsis thaliana		root	6 day			
112	E-GEOD-10591	microarray_1colour_mrna_differential	Homo sapiens					liver carcinoma	
113	E-GEOD-10644	microarray_1colour_mrna_differential	Mus musculus		distal colon				
114	E-GEOD-10646	microarray_1colour_mrna_differential	Arabidopsis thaliana		whole organism	5 week			
115	E-GEOD-106536	rnaseq_mrna_differential	Arabidopsis thaliana	stem elongation stage	whole organism				
116	E-GEOD-106675	microarray_1colour_mrna_differential	Homo sapiens	adult	kidney				female, male
117	E-GEOD-10670	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf	8 week			
118	E-GEOD-106937	microarray_1colour_mrna_differential	Homo sapiens		lung	40 to 77 year		lung adenocarcinoma	
119	E-GEOD-10696	microarray_1colour_mrna_differential	Homo sapiens		epidermis	85 year		epidermoid carcinoma	female
120	E-GEOD-107014	rnaseq_mrna_differential	Vitis vinifera	4 weeks after anthesis	seed trace				
121	E-GEOD-107018	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	4 day			
122	E-GEOD-107133	rnaseq_mrna_differential	Zea mays		stem				
123	E-GEOD-10718	microarray_1colour_mrna_differential	Homo sapiens						
124	E-GEOD-10719	microarray_1colour_mrna_differential	Arabidopsis thaliana						
125	E-GEOD-10732	microarray_1colour_mrna_differential	Arabidopsis thaliana		whole organism	10 day			
126	E-GEOD-10746	microarray_1colour_mrna_differential	Homo sapiens		mouth mucosa			acute myeloid leukemia	
127	E-GEOD-10748	microarray_1colour_mrna_differential	Rattus norvegicus	adult	brain	11 to 12 week			male
128	E-GEOD-10767	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood	17 year, 29 year, 35 year, 39 year		pulmonary arterial hypertension	female, male
129	E-GEOD-10780	microarray_1colour_mrna_differential	Homo sapiens		breast			breast carcinoma	
130	E-GEOD-10797	microarray_1colour_mrna_differential	Homo sapiens		brain			invasive breast cancer; normal	
131	E-GEOD-10801	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf				
132	E-GEOD-10821	microarray_1colour_mrna_differential	Homo sapiens		tonsil				
133	E-GEOD-108627	rnaseq_mrna_differential	Zea mays	LP.06 six leaves visible stage	leaf				
134	E-GEOD-108628	rnaseq_mrna_differential	Zea mays		seed	10 day; 15 day			
